252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Game/sparkle2.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Support.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Privacy.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Game/sparkle2.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Support.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/ng/app/sparkle-2/id814966315?mt=12, 814966315, http://www.10tons.com/Privacy.html, 10tons.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/us/app/sparkle-love-heart-stickers/id1190912305, 1190912305, http://www.womenhealthdiaries.com, womenhealthdiaries.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/us/app/sparkle-love-heart-stickers/id1190912305, 1190912305, http://www.womenhealthdiaries.com/privacy, womenhealthdiaries.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/us/app/sparkle-love-heart-stickers/id1190912305, 1190912305, http://www.womenhealthdiaries.com, womenhealthdiaries.com, False
252368, appstore, sparkle.ng, https://apps.apple.com/us/app/sparkle-love-heart-stickers/id1190912305, 1190912305, http://www.womenhealthdiaries.com/privacy, womenhealthdiaries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, http://artly.coffee, artly.coffee, True
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, http://artly.coffee, artly.coffee, True
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, https://app.termly.io/document/privacy-policy/8ff4fdc6-bfb0-4b96-abdf-1f2d8c099334, termly.io, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, http://artly.coffee, artly.coffee, True
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, http://artly.coffee, artly.coffee, True
315834, appstore, artly.coffee, https://apps.apple.com/us/app/artly-coffee/id1524335770, 1524335770, https://app.termly.io/document/privacy-policy/8ff4fdc6-bfb0-4b96-abdf-1f2d8c099334, termly.io, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com/Pages/Support/ContactUS.aspx, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com/Pages/Support/Privacy.aspx, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com/Pages/Support/ContactUS.aspx, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/halaldeliveries/id1613460814, 1613460814, https://www.halaldeliveries.com/Pages/Support/Privacy.aspx, halaldeliveries.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/yogurt-mill-rewards/id1437190719, 1437190719, http://yogurtmill.com/rewards-faq/, yogurtmill.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/yogurt-mill-rewards/id1437190719, 1437190719, http://yogurtmill.com/terms-and-conditions/, yogurtmill.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/yogurt-mill-rewards/id1437190719, 1437190719, http://yogurtmill.com/rewards-faq/, yogurtmill.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/yogurt-mill-rewards/id1437190719, 1437190719, http://yogurtmill.com/terms-and-conditions/, yogurtmill.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://blendid.com, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://blendid.com, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://www.blendid.com/privacy, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://blendid.com, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://blendid.com, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/blendid-store-manager/id1415706176, 1415706176, https://www.blendid.com/privacy, blendid.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/burger-creator/id1482057614, 1482057614, https://creator.rest, creator.rest, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/burger-creator/id1482057614, 1482057614, http://creator.rest/privacy-policy, creator.rest, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/burger-creator/id1482057614, 1482057614, https://creator.rest, creator.rest, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/burger-creator/id1482057614, 1482057614, http://creator.rest/privacy-policy, creator.rest, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/rogue-spoon/id1313976078, 1313976078, http://www.compass-usa.com, compass-usa.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/rogue-spoon/id1313976078, 1313976078, http://www.compass-usa.com/privacy/, compass-usa.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/rogue-spoon/id1313976078, 1313976078, http://www.compass-usa.com, compass-usa.com, False
315834, appstore, artly.coffee, https://apps.apple.com/us/app/rogue-spoon/id1313976078, 1313976078, http://www.compass-usa.com/privacy/, compass-usa.com, False
