domain,company_id,entity_id,entity,google_query
virgocx.ca,326086,1480501048,appstore,virgocx.ca site:apps.apple.com
questt.com,189815,1535457423,appstore,questt.com site:apps.apple.com
thebach.com,196532,1433495524,appstore,thebach.com site:apps.apple.com
currency.com,29568,1426340179,appstore,currency.com site:apps.apple.com
clerkie.io,17508,1132917036,appstore,clerkie.io site:apps.apple.com
dailymemphian.com,120906,1446564606,appstore,dailymemphian.com site:apps.apple.com
kahun.com,200198,1463318362,appstore,kahun.com site:apps.apple.com
soberpeer.com,173765,1476069333,appstore,soberpeer.com site:apps.apple.com
sabx.com,182995,1508611758,appstore,sabx.com site:apps.apple.com
exceedtc.com,246712,1604593854,appstore,exceedtc.com site:apps.apple.com
giddy.co,283757,1596780905,appstore,giddy.co site:apps.apple.com
le.mu,428305,1585824882,appstore,le.mu site:apps.apple.com
savein.money,230828,1564876305,appstore,savein.money site:apps.apple.com
whitecoat.com.sg,101026,1400608472,appstore,whitecoat.com.sg site:apps.apple.com
indentcorp.com,432441,1608675700,appstore,indentcorp.com site:apps.apple.com
wechselgott.com,178447,1477951039,appstore,wechselgott.com site:apps.apple.com
lightheart.games,123506,1483457500,appstore,lightheart.games site:apps.apple.com
livetechgames.com,196200,1519001549,appstore,livetechgames.com site:apps.apple.com
fassker.com,285761,1466925697,appstore,fassker.com site:apps.apple.com
playbackhealth.com,93129,1488712128,appstore,playbackhealth.com site:apps.apple.com
cravedelivery.com,140449,1505759548,appstore,cravedelivery.com site:apps.apple.com
artly.coffee,315834,1524335770,appstore,artly.coffee site:apps.apple.com
moneytap.jp,126184,1433496113,appstore,moneytap.jp site:apps.apple.com
dottid.com,61350,1519318324,appstore,dottid.com site:apps.apple.com
claimsforce.com,29300,1461470556,appstore,claimsforce.com site:apps.apple.com
smart4diagnostics.com,205554,1530214619,appstore,smart4diagnostics.com site:apps.apple.com
zamface.co.kr,200349,1556182881,appstore,zamface.co.kr site:apps.apple.com
ziina.com,135542,1507246381,appstore,ziina.com site:apps.apple.com
heroes.jobs,30836,1348350628,appstore,heroes.jobs site:apps.apple.com
v-comply.com,62331,1155453429,appstore,v-comply.com site:apps.apple.com
firmautousa.com,333654,1541219602,appstore,firmautousa.com site:apps.apple.com
hairskin.com,296018,1588258994,appstore,hairskin.com site:apps.apple.com
trytoolbox.com,60599,1506324260,appstore,trytoolbox.com site:apps.apple.com
getmindset.com,193155,1539382364,appstore,getmindset.com site:apps.apple.com
cloudtalk.io,122475,1459369621,appstore,cloudtalk.io site:apps.apple.com
goodjob.io,184024,1518361677,appstore,goodjob.io site:apps.apple.com
tumble.to,174256,1544526817,appstore,tumble.to site:apps.apple.com
hapbee.com,285457,1514828720,appstore,hapbee.com site:apps.apple.com
fuel.me,169745,1527141715,appstore,fuel.me site:apps.apple.com
zippmobility.com,139508,1526255913,appstore,zippmobility.com site:apps.apple.com
visionular.com,171900,1463478428,appstore,visionular.com site:apps.apple.com
getelements.com,285812,1475518768,appstore,getelements.com site:apps.apple.com
adwayusa.com,71616,1450243759,appstore,adwayusa.com site:apps.apple.com
yonder.com,126874,1498222803,appstore,yonder.com site:apps.apple.com
indi.com,138777,1517885502,appstore,indi.com site:apps.apple.com
hammoq.com,203350,1550677048,appstore,hammoq.com site:apps.apple.com
springames.com,149203,1525436770,appstore,springames.com site:apps.apple.com
hugosave.com,212660,1567205682,appstore,hugosave.com site:apps.apple.com
thriday.com.au,367249,1552878925,appstore,thriday.com.au site:apps.apple.com
butterapp.io,194779,1524734285,appstore,butterapp.io site:apps.apple.com
creativeforce.io,242366,1513556937,appstore,creativeforce.io site:apps.apple.com
wewalk.io,133372,1344297911,appstore,wewalk.io site:apps.apple.com
simplywise.com,135269,1538521095,appstore,simplywise.com site:apps.apple.com
ventrago.ru,283944,1479205518,appstore,ventrago.ru site:apps.apple.com
zetifi.com,184834,1509159509,appstore,zetifi.com site:apps.apple.com
gloveboxapp.com,177065,1455932767,appstore,gloveboxapp.com site:apps.apple.com
jeenie.com,178733,1341871432,appstore,jeenie.com site:apps.apple.com
bareknuckle.tv,321189,1497729109,appstore,bareknuckle.tv site:apps.apple.com
digbihealth.com,113816,1436497868,appstore,digbihealth.com site:apps.apple.com
backrobo.com,309050,1587546713,appstore,backrobo.com site:apps.apple.com
beebs.app,190620,1457130269,appstore,beebs.app site:apps.apple.com
cliqueretire.com.br,339896,1517099606,appstore,cliqueretire.com.br site:apps.apple.com
mamopay.com,121495,1515693846,appstore,mamopay.com site:apps.apple.com
keyless.io,110458,1494269968,appstore,keyless.io site:apps.apple.com
okplay.co,182783,1527301715,appstore,okplay.co site:apps.apple.com
coinmena.com,261011,1573112964,appstore,coinmena.com site:apps.apple.com
supy.io,241663,1544652630,appstore,supy.io site:apps.apple.com
soilconnect.com,126219,1364441763,appstore,soilconnect.com site:apps.apple.com
hlpy.co,185113,1546883523,appstore,hlpy.co site:apps.apple.com
parrotsoftware.io,152631,1439620445,appstore,parrotsoftware.io site:apps.apple.com
odaily.com,59855,1380052002,appstore,odaily.com site:apps.apple.com
tessa.art,150472,1503181606,appstore,tessa.art site:apps.apple.com
jutromedical.com,174840,1503163553,appstore,jutromedical.com site:apps.apple.com
leatherback.co,307227,1639003083,appstore,leatherback.co site:apps.apple.com
biup.com,48684,1434514479,appstore,biup.com site:apps.apple.com
coolmath.cn,51241,1445652543,appstore,coolmath.cn site:apps.apple.com
bitget.com,49381,1442778704,appstore,bitget.com site:apps.apple.com
swyft.delivery,40412,1444283187,appstore,swyft.delivery site:apps.apple.com
decrypt.co,291851,1508494821,appstore,decrypt.co site:apps.apple.com
fenxianglife.com,71740,1383296825,appstore,fenxianglife.com site:apps.apple.com
thehelloworld.com,95986,1481207096,appstore,thehelloworld.com site:apps.apple.com
chilibeli.com,110163,1539361151,appstore,chilibeli.com site:apps.apple.com
nexit.app,119826,1466222160,appstore,nexit.app site:apps.apple.com
icrypex.com,251654,1571270449,appstore,icrypex.com site:apps.apple.com
globalairlinesgroup.com,205161,1559910663,appstore,globalairlinesgroup.com site:apps.apple.com
revuto.com,205402,1550940719,appstore,revuto.com site:apps.apple.com
bankaya.com.mx,219664,1536961635,appstore,bankaya.com.mx site:apps.apple.com
postpay.io,178936,1580036121,appstore,postpay.io site:apps.apple.com
zyyah.com,204444,1503133012,appstore,zyyah.com site:apps.apple.com
mutosi.com,210920,1475057126,appstore,mutosi.com site:apps.apple.com
carmigo.io,226053,964232725,appstore,carmigo.io site:apps.apple.com
bridgelinxpk.com,240931,1532893336,appstore,bridgelinxpk.com site:apps.apple.com
ejara.io,251591,1541127587,appstore,ejara.io site:apps.apple.com
rockflow.ai,274064,1599189662,appstore,rockflow.ai site:apps.apple.com
ng.cash,327507,1480105326,appstore,ng.cash site:apps.apple.com
medsi.mx,334617,1620564135,appstore,medsi.mx site:apps.apple.com
game.space,337309,1619595556,appstore,game.space site:apps.apple.com
jify.co,314322,1591896706,appstore,jify.co site:apps.apple.com
everdome.io,348309,1615387104,appstore,everdome.io site:apps.apple.com
weavix.com,412719,1489968391,appstore,weavix.com site:apps.apple.com
medkitdoc.de,178744,1510720618,appstore,medkitdoc.de site:apps.apple.com
youkraft.com,308496,1611507278,appstore,youkraft.com site:apps.apple.com
payeye.com,357313,1628561744,appstore,payeye.com site:apps.apple.com
leaa.io,234324,1373710321,appstore,leaa.io site:apps.apple.com
addies.com,418458,1592175541,appstore,addies.com site:apps.apple.com
gohyer.com,210076,1440711877,appstore,gohyer.com site:apps.apple.com
vori.com,124081,1487512594,appstore,vori.com site:apps.apple.com
telgani.com,76056,1377706766,appstore,telgani.com site:apps.apple.com
sumerlabs.com,238427,1583799355,appstore,sumerlabs.com site:apps.apple.com
slope.finance,257370,1574624530,appstore,slope.finance site:apps.apple.com
mightyhealth.com,113336,1441145050,appstore,mightyhealth.com site:apps.apple.com
showdigs.com,31737,1438418662,appstore,showdigs.com site:apps.apple.com
bnine.com,189887,1552004842,appstore,bnine.com site:apps.apple.com
moises.ai,175255,1515796612,appstore,moises.ai site:apps.apple.com
buildforce.com,138433,1503007387,appstore,buildforce.com site:apps.apple.com
truekx.com,128070,1491313700,appstore,truekx.com site:apps.apple.com
mercuryo.io,152530,1446533733,appstore,mercuryo.io site:apps.apple.com
hotstreak.gg,334984,1452074933,appstore,hotstreak.gg site:apps.apple.com
caraway.health,343356,1629046497,appstore,caraway.health site:apps.apple.com
komunal.co.id,119790,1459394611,appstore,komunal.co.id site:apps.apple.com
prevayl.com,209258,1523840020,appstore,prevayl.com site:apps.apple.com
championsround.com,123375,1460675793,appstore,championsround.com site:apps.apple.com
landeed.com,337295,1600425050,appstore,landeed.com site:apps.apple.com
tigerhall.com,27849,1450973021,appstore,tigerhall.com site:apps.apple.com
avibra.com,38019,1449843334,appstore,avibra.com site:apps.apple.com
cofenster.com,185308,1484331266,appstore,cofenster.com site:apps.apple.com
kodypay.com,105402,1481994735,appstore,kodypay.com site:apps.apple.com
hygh.tech,269617,1448868564,appstore,hygh.tech site:apps.apple.com
datashapes.com,285670,1518081793,appstore,datashapes.com site:apps.apple.com
buenbit.com,223385,1552402029,appstore,buenbit.com site:apps.apple.com
drum.io,96464,1458518029,appstore,drum.io site:apps.apple.com
exer.ai,133975,1490123205,appstore,exer.ai site:apps.apple.com
fincy.com,139267,1455306729,appstore,fincy.com site:apps.apple.com
bycore.com,135408,1531067231,appstore,bycore.com site:apps.apple.com
talkshop.live,37127,1279832503,appstore,talkshop.live site:apps.apple.com
rabbitmart.com,260907,1588565838,appstore,rabbitmart.com site:apps.apple.com
saltalk.com,169534,1511109268,appstore,saltalk.com site:apps.apple.com
musicdiffusion.com,269175,1467626525,appstore,musicdiffusion.com site:apps.apple.com
editorji.com,169944,1385353252,appstore,editorji.com site:apps.apple.com
tradeblock.us,195126,1544090672,appstore,tradeblock.us site:apps.apple.com
trainwithkickoff.com,158116,1469977012,appstore,trainwithkickoff.com site:apps.apple.com
whoppah.com,90351,1458122175,appstore,whoppah.com site:apps.apple.com
pazcare.com,212912,1586308828,appstore,pazcare.com site:apps.apple.com
brokernetwork.app,286869,1580541010,appstore,brokernetwork.app site:apps.apple.com
whitehatjr.com,32097,1524626185,appstore,whitehatjr.com site:apps.apple.com
rigi.club,278219,1583460452,appstore,rigi.club site:apps.apple.com
currensea.com,119993,1499079762,appstore,currensea.com site:apps.apple.com
ridecheck.app,167738,1484477681,appstore,ridecheck.app site:apps.apple.com
circuskitchens.com,392924,1609588660,appstore,circuskitchens.com site:apps.apple.com
enote.com,398930,1539408514,appstore,enote.com site:apps.apple.com
kippa.africa,233278,1560029363,appstore,kippa.africa site:apps.apple.com
followmymoney.de,335787,1487657162,appstore,followmymoney.de site:apps.apple.com
gozem.co,129401,1441247963,appstore,gozem.co site:apps.apple.com
securden.com,141000,1455944153,appstore,securden.com site:apps.apple.com
bitdeer.com,202420,1541784286,appstore,bitdeer.com site:apps.apple.com
getmidas.com,190724,1554268946,appstore,getmidas.com site:apps.apple.com
callin.com,208896,1568011211,appstore,callin.com site:apps.apple.com
stabilityhealth.com,65281,1458507501,appstore,stabilityhealth.com site:apps.apple.com
lucrasports.com,203995,1563098618,appstore,lucrasports.com site:apps.apple.com
actio.com,167852,1511516783,appstore,actio.com site:apps.apple.com
gatherwholesale.com,110405,1482700899,appstore,gatherwholesale.com site:apps.apple.com
extracker.com,209392,1292136426,appstore,extracker.com site:apps.apple.com
naborforce.com,129823,1479721280,appstore,naborforce.com site:apps.apple.com
getpowerplay.in,167596,1520635194,appstore,getpowerplay.in site:apps.apple.com
novelship.com,84055,1553741278,appstore,novelship.com site:apps.apple.com
vaultplatform.com,35926,1444463273,appstore,vaultplatform.com site:apps.apple.com
pixpay.fr,44085,1468767126,appstore,pixpay.fr site:apps.apple.com
gokada.ng,47411,1389763825,appstore,gokada.ng site:apps.apple.com
vytal.org,133375,1476201142,appstore,vytal.org site:apps.apple.com
sylndr.com,321381,1619347396,appstore,sylndr.com site:apps.apple.com
findigs.com,136191,1461283289,appstore,findigs.com site:apps.apple.com
emberfund.io,233891,1406211993,appstore,emberfund.io site:apps.apple.com
kapwing.com,17568,1023649875,appstore,kapwing.com site:apps.apple.com
stufstorage.com,174409,1552261485,appstore,stufstorage.com site:apps.apple.com
chargenode.eu,392904,1480228826,appstore,chargenode.eu site:apps.apple.com
creatively.life,169786,1498457304,appstore,creatively.life site:apps.apple.com
haulwith.us,147825,1524004807,appstore,haulwith.us site:apps.apple.com
bubblehouse.com,212302,1524317241,appstore,bubblehouse.com site:apps.apple.com
solofunds.com,31303,1270164837,appstore,solofunds.com site:apps.apple.com
trygatsby.com,76422,1367546757,appstore,trygatsby.com site:apps.apple.com
cheqplease.com,226544,1541478885,appstore,cheqplease.com site:apps.apple.com
supersapiens.com,203541,1527850516,appstore,supersapiens.com site:apps.apple.com
condoconta.com.br,192501,1509010408,appstore,condoconta.com.br site:apps.apple.com
nudgetext.com,33409,950623169,appstore,nudgetext.com site:apps.apple.com
timeless.investments,271295,1525379976,appstore,timeless.investments site:apps.apple.com
elovee.com,143807,1473182122,appstore,elovee.com site:apps.apple.com
blackcloak.io,133955,1523080992,appstore,blackcloak.io site:apps.apple.com
hellojoko.com,30814,1378996692,appstore,hellojoko.com site:apps.apple.com
dipseastories.com,15033,1434242889,appstore,dipseastories.com site:apps.apple.com
harmonize.health,169693,1458439988,appstore,harmonize.health site:apps.apple.com
clubfeast.com,174332,1525145309,appstore,clubfeast.com site:apps.apple.com
gabriel.com.br,144147,1518147196,appstore,gabriel.com.br site:apps.apple.com
wagely.app,210072,1536727852,appstore,wagely.app site:apps.apple.com
getvoly.com,211224,1576646390,appstore,getvoly.com site:apps.apple.com
getinflow.io,152690,1528183849,appstore,getinflow.io site:apps.apple.com
givingli.com,217516,1386635163,appstore,givingli.com site:apps.apple.com
modifyhealth.com,147735,1473450862,appstore,modifyhealth.com site:apps.apple.com
infinipoint.io,227490,1562641687,appstore,infinipoint.io site:apps.apple.com
guorou.net,125578,1324930092,appstore,guorou.net site:apps.apple.com
spiral.us,164189,1526316317,appstore,spiral.us site:apps.apple.com
pinata.ai,127968,1506986185,appstore,pinata.ai site:apps.apple.com
monoly.com,379170,1548897615,appstore,monoly.com site:apps.apple.com
vitaltech.com,95191,1459700999,appstore,vitaltech.com site:apps.apple.com
arf.one,195409,1435697563,appstore,arf.one site:apps.apple.com
worldr.com,226253,1513863062,appstore,worldr.com site:apps.apple.com
socialgood.inc,298172,1494986337,appstore,socialgood.inc site:apps.apple.com
shopperoo.com,348334,1638311496,appstore,shopperoo.com site:apps.apple.com
invygo.com,110349,1445676307,appstore,invygo.com site:apps.apple.com
get-grin.com,164011,1479017545,appstore,get-grin.com site:apps.apple.com
lucidgreen.io,31336,1459414721,appstore,lucidgreen.io site:apps.apple.com
emirateshr.com,69515,1383238890,appstore,emirateshr.com site:apps.apple.com
payflow.es,136404,1503530690,appstore,payflow.es site:apps.apple.com
pharmapoc.com,213455,1542167143,appstore,pharmapoc.com site:apps.apple.com
envel.ai,144036,1503505652,appstore,envel.ai site:apps.apple.com
instantscripts.com.au,207247,1456598384,appstore,instantscripts.com.au site:apps.apple.com
getgo.sg,320080,1545316216,appstore,getgo.sg site:apps.apple.com
aukilabs.com,205244,1479843663,appstore,aukilabs.com site:apps.apple.com
allraise.org,134410,1482715154,appstore,allraise.org site:apps.apple.com
gain.tv,269004,1516180910,appstore,gain.tv site:apps.apple.com
thegivingmovement.com,298822,1580572679,appstore,thegivingmovement.com site:apps.apple.com
silofit.com,114467,1222192945,appstore,silofit.com site:apps.apple.com
getmayd.com,252311,1576408471,appstore,getmayd.com site:apps.apple.com
loupetheapp.com,129979,1511419920,appstore,loupetheapp.com site:apps.apple.com
getlokalapp.com,80315,1022232475,appstore,getlokalapp.com site:apps.apple.com
corsano.com,272050,1541306478,appstore,corsano.com site:apps.apple.com
baanx.com,119681,1437909986,appstore,baanx.com site:apps.apple.com
fvbank.us,237439,1522034353,appstore,fvbank.us site:apps.apple.com
revel.xyz,378557,1614465131,appstore,revel.xyz site:apps.apple.com
keepertax.com,27968,1471090941,appstore,keepertax.com site:apps.apple.com
dibbs.io,192769,1533182700,appstore,dibbs.io site:apps.apple.com
kittoffices.com,95169,1445734930,appstore,kittoffices.com site:apps.apple.com
rarible.com,172466,1574704824,appstore,rarible.com site:apps.apple.com
netspeakgames.com,105616,1482904413,appstore,netspeakgames.com site:apps.apple.com
