domain,company_id,entity_id,entity,google_query
d2x.com,203561,18369383,glassdoor,d2x.com site:glassdoor.com/Overview
bookpebble.co.uk,423002,21610541,glassdoor,bookpebble.co.uk site:glassdoor.com/Overview
pillsorted.com,285379,18371408,glassdoor,pillsorted.com site:glassdoor.com/Overview
basis-ai.com,54706,15457692,glassdoor,basis-ai.com site:glassdoor.com/Overview
skytechslp.com,178510,13687448,glassdoor,skytechslp.com site:glassdoor.com/Overview
foolfarm.com,203435,17623124,glassdoor,foolfarm.com site:glassdoor.com/Overview
base.co.id,48459,17138611,glassdoor,base.co.id site:glassdoor.com/Overview
scalez.io,119808,8324138,glassdoor,scalez.io site:glassdoor.com/Overview
getfluence.com,175307,13422019,glassdoor,getfluence.com site:glassdoor.com/Overview
odd.co,52227,2389239,glassdoor,odd.co site:glassdoor.com/Overview
knodd.se,62275,17233223,glassdoor,knodd.se site:glassdoor.com/Overview
sparetech.io,111603,18371008,glassdoor,sparetech.io site:glassdoor.com/Overview
elevatemovement.com,176824,19033075,glassdoor,elevatemovement.com site:glassdoor.com/Overview
matefertility.com,175937,15539995,glassdoor,matefertility.com site:glassdoor.com/Overview
storypod.com,203644,14966636,glassdoor,storypod.com site:glassdoor.com/Overview
cacspecialty.com,247545,16916899,glassdoor,cacspecialty.com site:glassdoor.com/Overview
deliveright.com,57810,2633383,glassdoor,deliveright.com site:glassdoor.com/Overview
dropshyp.com,120016,15052447,glassdoor,dropshyp.com site:glassdoor.com/Overview
anar.biz,193220,14389871,glassdoor,anar.biz site:glassdoor.com/Overview
handspringhealth.com,280221,18266800,glassdoor,handspringhealth.com site:glassdoor.com/Overview
kidodynamics.com,82015,15963210,glassdoor,kidodynamics.com site:glassdoor.com/Overview
placense.com,79058,14966476,glassdoor,placense.com site:glassdoor.com/Overview
getmintable.com,327863,21026730,glassdoor,getmintable.com site:glassdoor.com/Overview
altaml.com,68604,3409837,glassdoor,altaml.com site:glassdoor.com/Overview
makaihr.com,208915,15053355,glassdoor,makaihr.com site:glassdoor.com/Overview
spectrumretirement.com,309517,19394553,glassdoor,spectrumretirement.com site:glassdoor.com/Overview
itchpet.com,60891,6064403,glassdoor,itchpet.com site:glassdoor.com/Overview
multiscale.tech,304691,21613578,glassdoor,multiscale.tech site:glassdoor.com/Overview
exporta.io,164874,16329135,glassdoor,exporta.io site:glassdoor.com/Overview
inflection.io,329010,19982678,glassdoor,inflection.io site:glassdoor.com/Overview
synonym.bio,331698,21177667,glassdoor,synonym.bio site:glassdoor.com/Overview
olaclick.com,185664,18914015,glassdoor,olaclick.com site:glassdoor.com/Overview
curastory.co,121519,16615583,glassdoor,curastory.co site:glassdoor.com/Overview
gratapro.com,340447,20233174,glassdoor,gratapro.com site:glassdoor.com/Overview
bitscrunch.com,226975,15963329,glassdoor,bitscrunch.com site:glassdoor.com/Overview
bluextrade.com,47278,18371009,glassdoor,bluextrade.com site:glassdoor.com/Overview
zynapp.com,36350,1811328,glassdoor,zynapp.com site:glassdoor.com/Overview
metismotion.com,81780,12804095,glassdoor,metismotion.com site:glassdoor.com/Overview
halomine.com,120642,18136404,glassdoor,halomine.com site:glassdoor.com/Overview
modality.ai,105200,16916127,glassdoor,modality.ai site:glassdoor.com/Overview
recapped.io,52723,16618110,glassdoor,recapped.io site:glassdoor.com/Overview
propellerbonds.com,412012,21460350,glassdoor,propellerbonds.com site:glassdoor.com/Overview
sync.money,110270,6231435,glassdoor,sync.money site:glassdoor.com/Overview
ment.tech,136318,11797154,glassdoor,ment.tech site:glassdoor.com/Overview
harborlab.com,395473,21177308,glassdoor,harborlab.com site:glassdoor.com/Overview
sprk.global,182673,19035754,glassdoor,sprk.global site:glassdoor.com/Overview
insurwave.com,142550,17138370,glassdoor,insurwave.com site:glassdoor.com/Overview
calderbiosciences.com,395046,21176359,glassdoor,calderbiosciences.com site:glassdoor.com/Overview
huler.io,329323,19982996,glassdoor,huler.io site:glassdoor.com/Overview
ngrave.io,141070,18582633,glassdoor,ngrave.io site:glassdoor.com/Overview
latona.io,81965,15457977,glassdoor,latona.io site:glassdoor.com/Overview
