domain,company_id,entity_id,entity,google_query
onsurity.com,136915,com.onsurity,playstore,onsurity.com site:play.google.com
trubify.com,184346,com.trubify.app,playstore,trubify.com site:play.google.com
kasa.co.kr,197592,network.kasa.exchange,playstore,kasa.co.kr site:play.google.com
knave.eu,203560,com.knave.client,playstore,knave.eu site:play.google.com
getquin.com,129957,com.getquin.app,playstore,getquin.com site:play.google.com
gable.to,204353,com.gable.mobile,playstore,gable.to site:play.google.com
magaloop.com,72010,com.magaloop.app,playstore,magaloop.com site:play.google.com
vested.co.in,62220,com.vested.investing.android,playstore,vested.co.in site:play.google.com
workwhilejobs.com,114061,com.workwhilejobs.app,playstore,workwhilejobs.com site:play.google.com
withyotta.com,138102,com.withyotta.yotta,playstore,withyotta.com site:play.google.com
zippi.com.br,80153,com.zippi.mobile,playstore,zippi.com.br site:play.google.com
northstargaming.ca,424917,com.northstarbets.ca.app,playstore,northstargaming.ca site:play.google.com
fridgenomore.com,192037,com.fridgenomore,playstore,fridgenomore.com site:play.google.com
umba.com,40096,com.beatha.mkopokaka,playstore,umba.com site:play.google.com
mydukaan.io,150310,com.dukaan.app,playstore,mydukaan.io site:play.google.com
powder.gg,129230,com.unique.powder,playstore,powder.gg site:play.google.com
broom.id,293990,com.broomdealerapp,playstore,broom.id site:play.google.com
trinsic.id,226283,id.streetcred.apps.mobile,playstore,trinsic.id site:play.google.com
cookin.com,418089,com.cookin.marketplace,playstore,cookin.com site:play.google.com
meetmable.com,110404,com.meetmable.app,playstore,meetmable.com site:play.google.com
felmo.de,143674,com.vetiplan.petparentapp,playstore,felmo.de site:play.google.com
flossy.com,196146,com.flossy.android.prod,playstore,flossy.com site:play.google.com
mylads.com,227494,com.bboxsports.bboxapp,playstore,mylads.com site:play.google.com
clarifruit.com,83584,com.clarifruit,playstore,clarifruit.com site:play.google.com
onecode.in,149223,in.onecode.app,playstore,onecode.in site:play.google.com
supermove.co,120555,com.supermove.crew,playstore,supermove.co site:play.google.com
kikitrade.com,202552,com.kikitrade,playstore,kikitrade.com site:play.google.com
fordefi.com,384829,io.arnac,playstore,fordefi.com site:play.google.com
really.com,431042,name.andresan.dan.testpublishtime,playstore,really.com site:play.google.com
juntossomosmais.com.br,202267,br.com.votorantim.votorantim.jsmpro,playstore,juntossomosmais.com.br site:play.google.com
cobre.co,174739,com.cobresuperapp.main,playstore,cobre.co site:play.google.com
peculium.io,195987,com.aievemobile,playstore,peculium.io site:play.google.com
tinvio.com,123368,com.tinvio.tinvio,playstore,tinvio.com site:play.google.com
omie.fr,190093,com.foodyssey.omie,playstore,omie.fr site:play.google.com
getprizepool.com,149250,com.prizepool.android,playstore,getprizepool.com site:play.google.com
nejree.com,119827,com.nejree.ourapp,playstore,nejree.com site:play.google.com
runbuggy.com,256438,com.runbuggy.app,playstore,runbuggy.com site:play.google.com
iapts.com,261110,com.iapartments.llc,playstore,iapts.com site:play.google.com
apnaklub.com,214447,com.apnaklub,playstore,apnaklub.com site:play.google.com
klivo.com,122640,com.klivo.klivo_mobile,playstore,klivo.com site:play.google.com
oxwash.com,131656,com.oxwash,playstore,oxwash.com site:play.google.com
commmune.jp,119910,com.dayone.commune,playstore,commmune.jp site:play.google.com
joinimmediate.com,192257,com.immediatepay.app,playstore,joinimmediate.com site:play.google.com
getcure.app,288984,com.apptunix.curecustomer,playstore,getcure.app site:play.google.com
mathwallet.org,176486,com.medishares.android,playstore,mathwallet.org site:play.google.com
sarisuki.com,294609,com.sarisuki.cl.app,playstore,sarisuki.com site:play.google.com
consentium.net,42492,com.csm,playstore,consentium.net site:play.google.com
upland.me,52039,com.upland.app,playstore,upland.me site:play.google.com
tapcheck.com,290198,com.tapcheck.tapcheck,playstore,tapcheck.com site:play.google.com
dijanow.com,183073,com.dijanow.customer,playstore,dijanow.com site:play.google.com
relevel.com,247341,com.relevel,playstore,relevel.com site:play.google.com
eternalhealth.com,283253,hfh.wellbe.eternalhealth.droid,playstore,eternalhealth.com site:play.google.com
digihaul.com,242445,com.digihaul.carrier,playstore,digihaul.com site:play.google.com
onekey.so,370328,so.onekey.app.wallet,playstore,onekey.so site:play.google.com
revoltmotors.com,124924,com.myrevolt.app,playstore,revoltmotors.com site:play.google.com
xinfinity.io,42886,com.pellar.xifapp,playstore,xinfinity.io site:play.google.com
zevoy.com,256936,com.zevoy.android,playstore,zevoy.com site:play.google.com
wearephlo.com,136361,com.wearephlo.phlo,playstore,wearephlo.com site:play.google.com
endel.io,32305,com.endel.endel,playstore,endel.io site:play.google.com
weezy.co.uk,122189,com.customer.weezy,playstore,weezy.co.uk site:play.google.com
thndr.app,138163,com.axismarkets.thndr,playstore,thndr.app site:play.google.com
mylyka.com,81872,com.thingsilikeapp,playstore,mylyka.com site:play.google.com
btse.com,125713,com.btse.finance,playstore,btse.com site:play.google.com
candivore.io,185159,com.funtomic.matchmasters,playstore,candivore.io site:play.google.com
copilotsearch.com,148589,com.copilot.app.release,playstore,copilotsearch.com site:play.google.com
noice.id,238670,noice.app,playstore,noice.id site:play.google.com
joinforage.com,186411,com.foragetechcorp.forage,playstore,joinforage.com site:play.google.com
hubpay.ae,130663,com.app.hubpay,playstore,hubpay.ae site:play.google.com
youngplatform.com,47442,com.youngplatform.young,playstore,youngplatform.com site:play.google.com
okadoc.com,124997,com.okadoc.okadocpatient,playstore,okadoc.com site:play.google.com
skipcart.com,79411,com.skipcart.app.mobile,playstore,skipcart.com site:play.google.com
getgrid.app,256810,com.hatfield.grid,playstore,getgrid.app site:play.google.com
coverflex.com,38603,com.coverflex,playstore,coverflex.com site:play.google.com
ziglu.io,139673,hippotech.bank.droid,playstore,ziglu.io site:play.google.com
cartlow.com,86574,com.cartlow.android,playstore,cartlow.com site:play.google.com
hwyhaul.com,37351,com.hwy.android,playstore,hwyhaul.com site:play.google.com
lumachain.io,71886,io.lumachain.drive.app,playstore,lumachain.io site:play.google.com
getmymuse.com,121292,uk.mymuse.app,playstore,getmymuse.com site:play.google.com
nursa.com,266986,com.nursa,playstore,nursa.com site:play.google.com
